Question,A,B,C,D,TRUE,Topic,Set,TrueProb,AnswerProb,IsCorrect,probs_1,probs_2,probs_3,probs_4,question_id,bin_wide,bin,Answer,Explanation,Explanation_with_prefix,Topic_number,bin_wide_number,question_index
"This question refers to the following information.
In fact, the peculiar aggravation of the Cawnpore massacres was this, that the deed was done by a subject race — by black men who dared to shed the blood of their masters, and that of poor helpless ladies and children. Here we had not only a servile war, but we had a war of religion, a war of race, and a war of revenge, of hope, of national promptings to shake off the yoke of a stranger, and to re-establish the full power of native chiefs, and the full sway of native religions. Whatever the causes of the mutiny and the revolt, it is clear enough that one of the modes by which the leaders, as if by common instinct, determined to effect their end was, the destruction of every white man, woman or child who fell into their hands.
British journalist William Howard Russell, My Indian Mutlny Diary, 1860
Violence, it must be emphasized, was an essential component of the British presence in India. A dominant power is always uneasy with violence directed against it. The right to violence is, therefore, everywhere a privilege that authority enjoys and refuses to share with those under it: power always insists on violence as its exclusive monopoly. British rule in India, as an autocracy, had meticulously constructed a monopoly of violence. The revolt of 1857 shattered that monopoly by matching an official, alien violence by an indigenous violence of the colonized. The bodies of the British had acquired certain dignities in India that were predestined by birth and by the colour of their skin. This was the condition of their domination, of their superiority: rulers and ruled were arranged hierarchically as superior and inferior races, as civilized and uncivilized. And this superiority manifested itself by denying to the Indians a ""humanness""; by treating them and conceiving of them as animals.
Rudrangshu Mukherjee, ""The Kanpur [Cawnpore] Massacres in India in the Revolt of 1857,"" 1990
From the perspective of the first passage, the death of British citizens at Cawnpore","seems to mark a betrayal of a ""higher"" race by a ""lesser"" race.",should be seen as a regrettable but avoidable mistake.,can be said to have been brought on by the British themselves.,was seen by those who killed them as a religious duty.,A,high_school_world_history,test,0.5522021745,0.5522021745,1,0.5522021745,0.01093577623,0.0513628032,0.3854992461,4512,"(0.4,0.6]",0.55,A," The first passage describes the Cawnpore massacres as a ""peculiar aggravation"" because it was carried out by a ""subject race"" against their ""masters"" and ""helpless ladies and children."" This language suggests a belief in the superiority of the British and the betrayal of that superiority by the Indians. Option A accurately reflects this perspective. Option B is incorrect because the passage does not suggest that the deaths were avoidable. Option C is incorrect because the passage does not explicitly state that the British were responsible for the deaths. Option D is incorrect because the passage does not mention religion as a motivation for the killings.","The answer is [A].  The first passage describes the Cawnpore massacres as a ""peculiar aggravation"" because it was carried out by a ""subject race"" against their ""masters"" and ""helpless ladies and children."" This language suggests a belief in the superiority of the British and the betrayal of that superiority by the Indians. Option A accurately reflects this perspective. Option B is incorrect because the passage does not suggest that the deaths were avoidable. Option C is incorrect because the passage does not explicitly state that the British were responsible for the deaths. Option D is incorrect because the passage does not mention religion as a motivation for the killings.",5,2,8
"This question refers to the following information.
""Al-Zawawi also said 'This sultan Musa told me that at a town called ZKRY he has a copper mine from which ingots are brought to BYTY. ""There is nothing in my kingdom, Musa said, on which a duty is levied except this crude copper which is brought in. Duty is collected on this and on nothing else. We send it to the land of the pagan Sudan and sell it for two-thirds of its weight in gold, so that we sell 100 measures of this copper for 66 2/3 measures of gold.' He also stated that there are pagan nations in his kingdom from whom he does not collect the tribute (jizya) but whom he simply employs in extracting the gold from its deposits. The gold is extracted by digging pits about a man's height in depth and the gold is found embedded in the sides of the pits or sometimes collected at the bottom of them.""
From N. Levtzion & J.F.P. Hopkins, eds. Corpus of Early
Arabic Sources for West African History. Cambridge
University Press, 1981. Reprinted with permission of
Cambridge University Press.
Al' Umari, ca. 1300–1384
Which of the following inferences is most supported by the discussion of copper and gold in the passage?",Mali was able to forge advanced bronze tools from its mineral resources.,International trade with Sub-Saharan Africa involved the exchange of mineral resources.,The jizya could only be collected on unbelievers who had minerals to exploit.,Mali's relatively advanced mining technologies accounted for its mineral wealth.,B,high_school_world_history,test,0.5913509643,0.5913509643,1,0.01327038087,0.5913509643,0.007561239633,0.3878174152,11345,"(0.4,0.6]",0.55,B," The passage mentions that Mali's Sultan Musa sells copper to the ""land of the pagan Sudan"" for two-thirds of its weight in gold. This suggests that there was international trade involving the exchange of mineral resources between Mali and other regions, supporting option [B]. The passage does not mention any advanced bronze tools or advanced mining technologies, so options [A] and [D] are not supported. The passage also does not mention the jizya being collected on unbelievers with mineral resources, so option [C] is not supported.","The answer is [B].  The passage mentions that Mali's Sultan Musa sells copper to the ""land of the pagan Sudan"" for two-thirds of its weight in gold. This suggests that there was international trade involving the exchange of mineral resources between Mali and other regions, supporting option [B]. The passage does not mention any advanced bronze tools or advanced mining technologies, so options [A] and [D] are not supported. The passage also does not mention the jizya being collected on unbelievers with mineral resources, so option [C] is not supported.",5,2,9
"This question refers to the following information.
""The quicksilver mines of Huancavelica are where the poor Indians are so harshly punished, where they are tortured and so many Indians die; it is there that the noble caciques [headmen] of this kingdom are finished off and tortured. The same is true in all the other mines: the silver mines of Potosi [and others]….The owners and stewards of the mines, whether Spaniards, mestizos, or Indians, are such tyrants, with no fear of God or Justice, because they are not audited and are not inspected twice a year….
And they are not paid for the labor of traveling to and from the mines or for the time they spend at the mines. The Indians, under the pretext of mining chores, are made to spend their workdays herding cattle and conveying goods; they are sent off to the plains, and the Indians die. These Indians are not paid for their labor, and their work is kept hidden.
And [the mine owners] keep Indian cooking women in their residences; they use cooking as a pretext for taking concubines….And they oblige the Indians to accept corn or meat or chicha [corn beer]…at their own expense, and they deduct the price from their labor and their workdays. In this way, the Indians end up very poor and deep in debt, and they have no way to pay their tribute.
There is no remedy for all this, because any [colonial official] who enters comes to an agreement with the mine owners, and all the owners join forces in bribing him….Even the protector of the Indians is useless;…he [does not] warn Your Majesty or your royal Audiencia [court] about the harms done to the poor Indians.""
Excerpt from The First New Chronicle and Good Government [abridged], by Felipe Guaman Poma de Alaya. Selected, translated, and annotated by David Frye. Copyright 2006 Hackett Publishing Company. Reprinted with permission from the publisher.
Felipe Guaman Poma de Ayala, The First New Chronicle and Good Government, ca. 1610
Compared to the practices in the excerpt, English treatment of the natives in the New World differed in that they",viewed the natives as true equals as they settled the Americas,were confused by the natives' lack of a notion of land ownership,widely did not condone intermingling with the natives,"used the natives exclusively for harvesting cash crops, like tobacco and cotton",C,high_school_world_history,test,0.4601526153,0.4601526153,1,0.1615287438,0.08122175313,0.4601526153,0.2970968877,12218,"(0.4,0.6]",0.45,C," The excerpt describes the exploitation and mistreatment of native peoples in the Spanish colonies, specifically in the mining industry. This was a common practice among the Spanish colonizers, who saw the natives as inferior and used them for forced labor and other forms of exploitation. In contrast, the English colonizers often viewed the natives as obstacles to be removed or converted to Christianity, rather than as equals. While there were instances of intermingling and intermarriage between English colonizers and natives, it was not widely condoned or accepted. Additionally, while the English did use native labor for harvesting cash crops, they also used them for other forms of labor, such as building and maintaining settlements. Therefore, the practices described in the excerpt were not characteristic of English treatment of natives in the New World.","The answer is [C].  The excerpt describes the exploitation and mistreatment of native peoples in the Spanish colonies, specifically in the mining industry. This was a common practice among the Spanish colonizers, who saw the natives as inferior and used them for forced labor and other forms of exploitation. In contrast, the English colonizers often viewed the natives as obstacles to be removed or converted to Christianity, rather than as equals. While there were instances of intermingling and intermarriage between English colonizers and natives, it was not widely condoned or accepted. Additionally, while the English did use native labor for harvesting cash crops, they also used them for other forms of labor, such as building and maintaining settlements. Therefore, the practices described in the excerpt were not characteristic of English treatment of natives in the New World.",5,2,10
"This question refers to the following information.
I walk alongside the column, ask what's going on.
A soldier says simply: ""They call up more every day.
""Some of us were sent north to the Yellow River at age fifteen,
And now at forty we're heading off to the garrisons in the west.
On our first tour, the village headman had to tie our bandannas for us.
When we came back, our hair was white, but still there's more unrest.
The frontier garrisons run with blood, enough to fill an ocean,
But the Martial Emperor's territorial ambitions have yet to crest.
In the hundred districts east of the mountains, throughout the land of Han,
There must be ten thousand villages that brambles now infest.
Even if wives are strong enough to handle a hoe and plow,
The crops grow every which way, the fields are all a mess.
It's hardest for the Shanxi men, with their reputations as fighters:
They're rounded up like dogs or chickens, every male impressed.
""But sir, though it's good of you to ask,
Complaining isn't part of the soldier's task.
We can only shake our heads. Take this winter:
The Shanxi troops were never sent home.
The District Officers are demanding the land tax,
But where will it come from? You can't get blood from a stone!
I honestly think it's bad luck to bear a son now,
It's better to have a daughter: at least she can marry
And live with the neighbors next door.
But a son will end up lying on some distant prairie.""
Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.
The succeeding Song dynasty differed from the Tang in that",the Song abolished the Confucian civil service exams,the Song sponsored Buddhism to the detriment of Taoism and Confucianism,the Song pursued a less expansive foreign policy,the Song dynasty was originally from outside of China,C,high_school_world_history,test,0.7826235193,0.7826235193,1,0.04849214384,0.1075845233,0.7826235193,0.06129981359,6772,"(0.6,0.8]",0.75,C," The Song dynasty differed from the Tang in that they pursued a less expansive foreign policy. This is evident in the poem, as the soldier mentions the Martial Emperor's territorial ambitions and the unrest in the frontier garrisons. The Tang dynasty, on the other hand, was known for its military conquests and expansion of territory. The other options are not mentioned in the poem and are not accurate representations of the differences between the Tang and Song dynasties.","The answer is [C].  The Song dynasty differed from the Tang in that they pursued a less expansive foreign policy. This is evident in the poem, as the soldier mentions the Martial Emperor's territorial ambitions and the unrest in the frontier garrisons. The Tang dynasty, on the other hand, was known for its military conquests and expansion of territory. The other options are not mentioned in the poem and are not accurate representations of the differences between the Tang and Song dynasties.",5,3,1
"This question refers to the following information.
You are the United States,
you are the future invader
of the native America that has Indian blood,
that still prays to Jesus Christ and still speaks Spanish.
. . .
you are Alexander-Nebuchadnezzar.
You think that life is fire,
that progress is eruption,
that wherever you shoot
you hit the future.
No.
. . .
But our America, that has had poets
since the ancient times of Netzahualcoyotl,
. . .
that consulted the stars, that knew Atlantis
whose resounding name comes to us from Plato,
that since the remote times of its life
has lived on light, on fire, on perfume, on love,
America of the great Montezuma, of the Inca,
the fragrant America of Christopher Columbus,
Catholic America, Spanish America,
the America in which noble Cuauhtémoc said:
""I'm not in a bed of roses"", that America
that trembles in hurricanes and lives on love,
it lives, you men of Saxon eyes and barbarous soul.
And it dreams. And it loves, and it vibrates, and it is the daughter of the sun.
Be careful. Viva Spanish America!
There are a thousand cubs loosed from the Spanish lion.
Roosevelt, one would have to be, through God himself,
the-fearful rifleman and strong hunter,
to manage to grab us in your iron claws.
And, although you count on everything, you lack one thing: God!
—Adapted from ""To Roosevelt"" by Ruben Dario, 1904
What was the poet's purpose in discussing ""our America, that has had poets since ancient times, . . . that consulted the stars""?",Latin America has excelled in poetry.,Latin America had made significant scientific contributions.,Latin America had a prophecy regarding these events.,Latin America has had a rich culture for centuries.,D,high_school_world_history,test,0.7489325592,0.7489325592,1,0.2469717526,0.001856419195,0.002239268989,0.7489325592,613,"(0.6,0.8]",0.75,D," The poet's purpose in discussing ""our America, that has had poets since ancient times, . . . that consulted the stars"" is to highlight the rich cultural history and heritage of Latin America. The mention of poets and star consultation suggests a deep connection to art, literature, and spirituality in the region. This aligns with option [D], which states that Latin America has had a rich culture for centuries. The other options do not accurately reflect the poet's purpose in discussing this aspect of Latin America.","The answer is [D].  The poet's purpose in discussing ""our America, that has had poets since ancient times, . . . that consulted the stars"" is to highlight the rich cultural history and heritage of Latin America. The mention of poets and star consultation suggests a deep connection to art, literature, and spirituality in the region. This aligns with option [D], which states that Latin America has had a rich culture for centuries. The other options do not accurately reflect the poet's purpose in discussing this aspect of Latin America.",5,3,2
"This question refers to the following information.
I walk alongside the column, ask what's going on.
A soldier says simply: ""They call up more every day.
""Some of us were sent north to the Yellow River at age fifteen,
And now at forty we're heading off to the garrisons in the west.
On our first tour, the village headman had to tie our bandannas for us.
When we came back, our hair was white, but still there's more unrest.
The frontier garrisons run with blood, enough to fill an ocean,
But the Martial Emperor's territorial ambitions have yet to crest.
In the hundred districts east of the mountains, throughout the land of Han,
There must be ten thousand villages that brambles now infest.
Even if wives are strong enough to handle a hoe and plow,
The crops grow every which way, the fields are all a mess.
It's hardest for the Shanxi men, with their reputations as fighters:
They're rounded up like dogs or chickens, every male impressed.
""But sir, though it's good of you to ask,
Complaining isn't part of the soldier's task.
We can only shake our heads. Take this winter:
The Shanxi troops were never sent home.
The District Officers are demanding the land tax,
But where will it come from? You can't get blood from a stone!
I honestly think it's bad luck to bear a son now,
It's better to have a daughter: at least she can marry
And live with the neighbors next door.
But a son will end up lying on some distant prairie.""
Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.
The poem provides evidence of which of the following as a major cause of later Tang decline?",Discontent among the peasantry due to oppressive taxation,Foreign invasion of the Tang heartlands,The spread of Buddhism and Taoism as a reaction to state-sponsored Confucianism,An ineffective bureaucracy and poor leadership,A,high_school_world_history,test,0.6054082714,0.6054082714,1,0.6054082714,0.08193311299,0.008240231344,0.3044183843,9623,"(0.6,0.8]",0.65,A," The poem describes the hardships faced by soldiers and their families, including oppressive taxation and forced conscription. This suggests that discontent among the peasantry due to these factors was a major cause of later Tang decline.","The answer is [A].  The poem describes the hardships faced by soldiers and their families, including oppressive taxation and forced conscription. This suggests that discontent among the peasantry due to these factors was a major cause of later Tang decline.",5,3,3
"This question refers to the following information.
""The quicksilver mines of Huancavelica are where the poor Indians are so harshly punished, where they are tortured and so many Indians die; it is there that the noble caciques [headmen] of this kingdom are finished off and tortured. The same is true in all the other mines: the silver mines of Potosi [and others]….The owners and stewards of the mines, whether Spaniards, mestizos, or Indians, are such tyrants, with no fear of God or Justice, because they are not audited and are not inspected twice a year….
And they are not paid for the labor of traveling to and from the mines or for the time they spend at the mines. The Indians, under the pretext of mining chores, are made to spend their workdays herding cattle and conveying goods; they are sent off to the plains, and the Indians die. These Indians are not paid for their labor, and their work is kept hidden.
And [the mine owners] keep Indian cooking women in their residences; they use cooking as a pretext for taking concubines….And they oblige the Indians to accept corn or meat or chicha [corn beer]…at their own expense, and they deduct the price from their labor and their workdays. In this way, the Indians end up very poor and deep in debt, and they have no way to pay their tribute.
There is no remedy for all this, because any [colonial official] who enters comes to an agreement with the mine owners, and all the owners join forces in bribing him….Even the protector of the Indians is useless;…he [does not] warn Your Majesty or your royal Audiencia [court] about the harms done to the poor Indians.""
Excerpt from The First New Chronicle and Good Government [abridged], by Felipe Guaman Poma de Alaya. Selected, translated, and annotated by David Frye. Copyright 2006 Hackett Publishing Company. Reprinted with permission from the publisher.
Felipe Guaman Poma de Ayala, The First New Chronicle and Good Government, ca. 1610
The production of the mines mentioned in the passage most directly contributed to which of the following in the period 1450–1750 C.E.?",The prosecution of a variety of wars by the Spanish Hapsburgs across the world,The development of a vibrant merchant class in Spain,A decrease in patronage of religious activities by the monarchs of Spain,A decrease in the frequency of voyages of exploration undertaken by the Spanish,A,high_school_world_history,test,0.7774686725,0.7774686725,1,0.7774686725,0.08860322094,0.04251229,0.09141581651,9517,"(0.6,0.8]",0.75,A," The correct answer is [A]. The passage describes the harsh treatment and exploitation of indigenous peoples in the mines of Huancavelica and Potosi, which were major sources of silver for the Spanish empire. This silver was used to finance the Spanish Hapsburgs' wars and conquests across the world during the period of 1450-1750 C.E. The other options are not directly related to the production of silver in these mines.","The answer is [A].  The correct answer is [A]. The passage describes the harsh treatment and exploitation of indigenous peoples in the mines of Huancavelica and Potosi, which were major sources of silver for the Spanish empire. This silver was used to finance the Spanish Hapsburgs' wars and conquests across the world during the period of 1450-1750 C.E. The other options are not directly related to the production of silver in these mines.",5,3,4
"This question refers to the following information.
The condition of foreign states is not what it once was; they have invented the steamship, and introduced radical changes in the art of navigation. They have also built up their armies to a state of great efficiency and are possessed of war implements of great power and precision, in short have license to be formidable powers. If, therefore, we persistently cling to our antiquated systems, heaven only knows what a mighty calamity may befall our Empire.
—Adapted from a letter written by Lord Ii to Lord Tokugawa, 1847
How did Japan respond to the concerns raised by Lord Ii during this era?",The government dismantled the Chinese-style civil service system.,The government undertook a program of conquest in the Pacific.,The country sent emissaries to study western democracies and industry.,The country turned inward and closed its ports to all foreigners.,C,high_school_world_history,test,0.6014264595,0.6014264595,1,0.01349649019,0.008713989006,0.6014264595,0.3763630613,2936,"(0.6,0.8]",0.65,C," The letter written by Lord Ii expresses concerns about the advancements made by foreign states and the potential threat they pose to Japan. In response to these concerns, Japan sent emissaries to study western democracies and industry, as stated in option [C]. This was known as the ""Rangaku"" movement, where Japanese scholars and officials were sent to study and learn from Western countries in order to modernize and strengthen Japan. The other options, such as dismantling the civil service system (option [A]), undertaking conquest (option [B]), or closing ports to foreigners (option [D]), do not align with Japan's response to the concerns raised by Lord Ii.","The answer is [C].  The letter written by Lord Ii expresses concerns about the advancements made by foreign states and the potential threat they pose to Japan. In response to these concerns, Japan sent emissaries to study western democracies and industry, as stated in option [C]. This was known as the ""Rangaku"" movement, where Japanese scholars and officials were sent to study and learn from Western countries in order to modernize and strengthen Japan. The other options, such as dismantling the civil service system (option [A]), undertaking conquest (option [B]), or closing ports to foreigners (option [D]), do not align with Japan's response to the concerns raised by Lord Ii.",5,3,5
"This question refers to the following information.
Although in Protestant Europe, [Peter the Great] was surrounded by evidence of the new civil and political rights of individual men embodied in constitutions, bills of rights and parliaments, he did not return to Russia determined to share power with his people. On the contrary, he returned not only determined to change his country but also convinced that if Russia was to be transformed, it was he who must provide both the direction and the motive force. He would try to lead; but where education and persuasion were not enough, he could drive—and if necessary flog—the backward nation forward.
—Robert K. Massie, Peter the Great: His Life and World
Based on the above passage, what kinds of reforms did Peter the Great embrace?",Creation of an elected assembly,Declarations of human rights,Development of a constitutional monarchy,Reduction of aristocratic influence,C,high_school_world_history,test,0.1077324789,0.691612693,0,0.1543196664,0.04633516179,0.1077324789,0.691612693,4903,"(0.6,0.8]",0.65,D," The passage states that Peter the Great was surrounded by evidence of new civil and political rights in Protestant Europe, but he did not return to Russia determined to share power with his people. Instead, he was determined to change his country and provide both direction and motive force. This suggests that he embraced reforms that would reduce aristocratic influence and centralize power in his own hands. There is no mention of creating an elected assembly, declaring human rights, or developing a constitutional monarchy.","The answer is [D].  The passage states that Peter the Great was surrounded by evidence of new civil and political rights in Protestant Europe, but he did not return to Russia determined to share power with his people. Instead, he was determined to change his country and provide both direction and motive force. This suggests that he embraced reforms that would reduce aristocratic influence and centralize power in his own hands. There is no mention of creating an elected assembly, declaring human rights, or developing a constitutional monarchy.",5,3,6
"This question refers to the following information.
I walk alongside the column, ask what's going on.
A soldier says simply: ""They call up more every day.
""Some of us were sent north to the Yellow River at age fifteen,
And now at forty we're heading off to the garrisons in the west.
On our first tour, the village headman had to tie our bandannas for us.
When we came back, our hair was white, but still there's more unrest.
The frontier garrisons run with blood, enough to fill an ocean,
But the Martial Emperor's territorial ambitions have yet to crest.
In the hundred districts east of the mountains, throughout the land of Han,
There must be ten thousand villages that brambles now infest.
Even if wives are strong enough to handle a hoe and plow,
The crops grow every which way, the fields are all a mess.
It's hardest for the Shanxi men, with their reputations as fighters:
They're rounded up like dogs or chickens, every male impressed.
""But sir, though it's good of you to ask,
Complaining isn't part of the soldier's task.
We can only shake our heads. Take this winter:
The Shanxi troops were never sent home.
The District Officers are demanding the land tax,
But where will it come from? You can't get blood from a stone!
I honestly think it's bad luck to bear a son now,
It's better to have a daughter: at least she can marry
And live with the neighbors next door.
But a son will end up lying on some distant prairie.""
Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.
Which of the following does the poem provide direct evidence for in its discussion of taxation in the third stanza?",The Tang Dynasty's strong bureaucracy at the local level,"The Tang Dynasty's large, standing professional army with no need of conscription",Relatively advanced Tang agricultural technologies,The relatively high level of urbanization in Tang China,A,high_school_world_history,test,0.6872167991,0.6872167991,1,0.6872167991,0.1486210557,0.1440484665,0.0201136787,6455,"(0.6,0.8]",0.65,A," The poem mentions District Officers demanding the land tax, which indicates the presence of a strong bureaucracy at the local level in the Tang Dynasty. This is further supported by the mention of village headmen in the second stanza, who were responsible for tying the soldiers' bandannas. This suggests a well-organized system of local governance in the Tang Dynasty. The poem does not provide evidence for options [B], [C], or [D].","The answer is [A].  The poem mentions District Officers demanding the land tax, which indicates the presence of a strong bureaucracy at the local level in the Tang Dynasty. This is further supported by the mention of village headmen in the second stanza, who were responsible for tying the soldiers' bandannas. This suggests a well-organized system of local governance in the Tang Dynasty. The poem does not provide evidence for options [B], [C], or [D].",5,3,7
"This question refers to the following information.
Source 1:
""Moreover, Sir, in our Kingdoms there is another great inconvenience which is of little service to God, and this is that many of our people, keenly desirous as they are of the wares and things of your Kingdoms, which are brought here by your people, and in order to satisfy their voracious appetite, seize many of our people, freed and exempt men, and very often it happens that they kidnap even noblemen and our relatives, and take them to be sold to the white men who are in our kingdoms.""
Letter from King Afonso I of Kongo to King John III of Portugal, 1526
Source 2:
""This expedition has cost us much: it would be unreasonable to send it home with empty hands. Although our [principal] wish is to serve God and the pleasure of the king of Kongo, none the less you will make him understand—as though speaking in our name—what he should do to fill the ships, whether with slaves, or copper, or ivory.""
Instructions from King Manuel of Portugal to his envoy in Kongo, 1512
The interactions described in the letters are best understood in the context of which of the following?",Portuguese exploration of the coast of West Africa,Catholic missionary efforts in Sub-Saharan Africa,State formation in Sub-Saharan Africa,Development of the slave trade in Sub-Saharan Africa,D,high_school_world_history,test,0.6303202798,0.6303202798,1,0.3321554562,0.02561308108,0.01191118293,0.6303202798,5822,"(0.6,0.8]",0.65,D," The interactions described in the letters are best understood in the context of the development of the slave trade in Sub-Saharan Africa. The letters mention the desire for goods from the Portuguese Kingdom and the kidnapping and selling of people as slaves. This reflects the beginning of the transatlantic slave trade, which was a major part of the European colonization and exploitation of Africa.","The answer is [D].  The interactions described in the letters are best understood in the context of the development of the slave trade in Sub-Saharan Africa. The letters mention the desire for goods from the Portuguese Kingdom and the kidnapping and selling of people as slaves. This reflects the beginning of the transatlantic slave trade, which was a major part of the European colonization and exploitation of Africa.",5,3,8
"This question refers to the following information.
""The question as to who, and what, is responsible for African underdevelopment can be answered at two levels. Firstly, the answer is that the operation of the imperialist system bears major responsibility for African economic retardation by draining African wealth and by making it impossible to develop more rapidly the resources of the continent. Secondly, one has to deal with those who manipulate the system and those who are either agents or unwitting accomplices of the said system. The capitalists of Western Europe were the ones who actively extended their exploitation from inside Europe to cover the whole of Africa.""
Walter Rodney, historian, How Europe Underdeveloped Africa, 1974
Which of the following best explains the importance of trading contacts with Europeans for Sub-Saharan Africans in the period 1450 to 1750 C.E.?",Sub-Saharan Africans relied on European merchants to sustain population growth through the constant importation of New World foodstuffs.,Sub-Saharan Africans consolidated new states and kingdoms by trading with the Europeans for firearms.,Sub-Saharan Africans depended on European merchants as the sole purchasers of slaves.,Sub-Saharan Africans allied with European powers to evict Muslim and Arab merchant princes from encroaching on their sovereignty.,B,high_school_world_history,test,0.6735586452,0.6735586452,1,0.0985634169,0.6735586452,0.1841406868,0.04373725112,1297,"(0.6,0.8]",0.65,B," During this time period, European traders were interested in acquiring African goods such as gold, ivory, and slaves. In order to obtain these goods, European traders often traded firearms and other goods with African states and kingdoms. This trade allowed African states and kingdoms to consolidate their power and expand their territories. Additionally, the introduction of firearms gave African states an advantage in warfare, allowing them to defend against encroaching Muslim and Arab merchants. Therefore, trading with Europeans for firearms was an important factor in the consolidation of new states and kingdoms in Sub-Saharan Africa during this time period.","The answer is [B].  During this time period, European traders were interested in acquiring African goods such as gold, ivory, and slaves. In order to obtain these goods, European traders often traded firearms and other goods with African states and kingdoms. This trade allowed African states and kingdoms to consolidate their power and expand their territories. Additionally, the introduction of firearms gave African states an advantage in warfare, allowing them to defend against encroaching Muslim and Arab merchants. Therefore, trading with Europeans for firearms was an important factor in the consolidation of new states and kingdoms in Sub-Saharan Africa during this time period.",5,3,9
"This question refers to the following information.
Yi Yin sacrificed to the former king, and presented the heir-king reverently before the shrine of his grandfather. . . . Yi Yin then clearly described the virtue of the Meritorious Ancestor for the instruction of the young king.
""Oh! of old the former kings of Xia cultivated earnestly their virtue, and then there were no calamities from Heaven. The spirits of the hills and rivers were all in tranquility; and the birds and beasts enjoyed their existence according to their nature. But their descendant did not follow their example, and Heaven sent down calamities, using our ruler, who possessed of its favor. The attack on Xia may be traced to the orgies in Ming Tiao. . . . Our king of Shang brilliantly displayed his sagely prowess; for oppression he substituted his generous gentleness. Now your Majesty is entering on the inheritance of his virtue; all depends on how you commence your reign.
""Oh! the former king began with careful attention to the bonds that hold men together. . . . Revere these warnings in your person. . . . The ways of Heaven are not invariable: on the good-doer it sends down all blessings, and on the evil-doer it sends down all miseries. If you not be virtuous, be it in large things or in small, it will bring the ruin of your ancestral temple.""
—Excerpted and adapted from the Shu Jing, 6th century BCE, China
What does the phrase below tell us about the ruler?",He had the Mandate of Heaven.,He was an absolute monarch.,He had lost the blessing of the gods.,He was killed as a result of natural disasters.,A,high_school_world_history,test,0.2986186866,0.6321758151,0,0.2986186866,0.05523891373,0.6321758151,0.01396658462,4994,"(0.6,0.8]",0.65,C," The phrase ""Heaven sent down calamities, using our ruler"" suggests that the ruler had lost the blessing of the gods and was being used as a tool for punishment. This implies that the ruler had strayed from the virtuous path and had lost the Mandate of Heaven.","The answer is [C].  The phrase ""Heaven sent down calamities, using our ruler"" suggests that the ruler had lost the blessing of the gods and was being used as a tool for punishment. This implies that the ruler had strayed from the virtuous path and had lost the Mandate of Heaven.",5,3,10
"This question refers to the following information.
Source 1:
""We proclaim Him also by our senses on all sides, and we sanctify the noblest sense, which is that of sight. The image is a memorial, just what words are to a listening ear. What a book is to the literate, that an image is to the illiterate. The image speaks to the sight as words to the ear; it brings us understanding.""
John of Damascus, Apologia Against Those Who Decry Holy Images, ca. 730 C.E.
Source 2:
""To make our confession short, we keep unchanged all the ecclesiastical traditions handed down to us, whether in writing or verbally, one of which is the making of pictorial representations, agreeable to the history of the preaching of the Gospel, a tradition useful in many respects, but especially in this, that so the incarnation of the Word of God is shown forth as real and not merely fantastic, for these have mutual indications and without doubt have also mutual significations.""
Decree of the Second Council of Nicaea, 787 C.E.
The late eighth-century religious debate in Byzantium that occasioned the writing of the passages is best understood in the context of which of the following?",Disagreement about the true nature of divinity,Disagreement about the role of the priesthood,Disagreement about the appropriate use of religious iconography,Disagreement about the best form of ascetic practice,C,high_school_world_history,test,0.994401828,0.994401828,1,0.003938860004,0.0009958997714,0.994401828,0.0006634122696,3626,"(0.8,1]",0.95,C," The passages are discussing the use of religious images, specifically in the context of the Christian faith. The first source argues for the use of images as a way to understand and connect with the divine, while the second source defends the tradition of using images in religious practice. This suggests that there was a disagreement about the appropriate use of religious iconography in the late eighth-century Byzantine Empire.","The answer is [C].  The passages are discussing the use of religious images, specifically in the context of the Christian faith. The first source argues for the use of images as a way to understand and connect with the divine, while the second source defends the tradition of using images in religious practice. This suggests that there was a disagreement about the appropriate use of religious iconography in the late eighth-century Byzantine Empire.",5,4,1
